,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
3781,more,index,cws appearances,does,school,cws appearances,clemson,more,does clemson or western michigan have more cws appearances ?
3782,#,comparee,#,#,school,#,#,nan,list each of the schools that came in 2nd for cws best finish.
3783,#,comparee,#,#,school,#,#,most,list the schools that came in last place in the cws best finish.
3784,#,comparee,cws best finish,how many,school,cws best finish,#,nan,how many teams had their cws best finish in 1955 ?
3785,highest,comparee,individual number,which,venue,individual number,#,most,which had the highest individual number ?
3786,higher,comparee,attendance,which,date,attendance,"february 8, 2009",more,"which game date had a higher attendance? february 8, 2009 or april 4, 2009 ?"
3787,least,comparee,amount of games,which,date,amount of games,month,least,which month had the least amount of games ?
3788,#,difference,length,what,name,length,english canyon,nan,what is the difference between the length of english canyon and the length of munger creek ?
3789,#,difference,#,what,representative,#,nancy pelosi,nan,what is the difference in rank between nancy pelosi and john boehner ?
3790,first,comparee,republican representative,who,representative,republican representative,#,least,who was the first republican representative ?
3791,last,comparee,republican,what,representative,republican,#,most,what is the last republican listed ?
3792,#,comparee,driver,who,winning driver,driver,#,least,who was the top driver in round 14 ?
3793,#,comparee,#,who,fastest lap,#,#,most,who had the fastest lap in the last grand prix of the season ?
3794,most,comparee,times,who,pole position,times,pole position,most,who had pole position the most times ?
3795,first,comparee,#,who,pole position,#,#,least,who placed first in round 8 ?
3796,most,comparee,membership,which,party,membership,party,most,which party has the most membership ?
3797,#,comparee,categories,what,#,categories,#,least,what are the categories at the top of the table ?
3798,most,comparee,position,what,constructor,position,brand,nan,what brand has been constructor the most ?
3799,#,difference,attendance,what,week,attendance,week two,nan,what was the difference between the attendance in week two and the attendance in week one ?
3800,most,comparee,attendance,which,date,attendance,date,most,which date has the most attendance ?
3801,first,comparee,victory of the season,what,week,victory of the season,week,least,in what week was the eagles' first victory of the season ?
3802,longer,index,ship,which,name,ship,jaguar,nan,"which ship lasted longer, jaguar or jersey ?"
3803,first,comparee,destroyer,what,name,destroyer,#,least,what was the first destroyer to be completed ?
3804,most,comparee,ships,which,country,ships,country,most,which country built the most ships according to this cart ?
3805,first,comparee,ship,what,ship,ship,#,least,what was the first ship to be launched in 1929 ?
3806,most,comparee,letters in it's name,what,ship,letters in it's name,ship,most,what ship has the most letters in it's name ?
3807,#,difference,square miles,what,mainland,square miles,angus,nan,what is the difference in square miles from angus and fife ?
3808,least,comparee,population,which,mainland,population,mainland,least,which mainland has the least population ?
3809,first,comparee,#,which,mainland,#,#,least,"if you were to arrange the locations from the smallest to largest area, which one would be first on the list ?"
3810,least,comparee,represented in the vacator column,which,#,represented in the vacator column,party,least,which party is the least represented in the vacator column ?
3811,first,comparee,have a successor seated,which,district,have a successor seated,district,least,which district was first to have a successor seated ?
3812,last,comparee,#,which,district,#,district,most,which district is listed last on this chart ?
3813,first,comparee,school,which,school name,school,school,least,which school is the first school to have been closed ?
3814,most,comparee,gold medals,what,sport,gold medals,sport,most,what sport won the most gold medals ?
3815,largest,comparee,amount of medals,which,name,amount of medals,french competitor,most,which french competitor won the largest amount of medals in the 2000 summer olympics ?
3816,least,comparee,amount of points,what,car,amount of points,car,least,what car made the least amount of points ?
3817,last,comparee,place,what,time,place,time,most,what was the time for the driver who came in last place ?
3818,most,comparee,points,what,driver,points,main driver,most,what main driver made the most points in the pcwrc ?
3819,faster,comparee,time,which,driver,time,solberg,nan,"in the 2008 rally new zealand, which driver was faster, solberg or gardemeister ?"
3820,more,comparee,#,who,members of legislative assembly,#,shri tej bhadur,more,"who has been elected more often, shri tej bhadur or shri anish ahemd khan ?"
3821,most,comparee,poisition,which,winning party,poisition,party,nan,which party has won the most ?
3822,least,comparee,amount of housemates,which,series,amount of housemates,season,least,which season had the least amount of housemates ?
3823,most,comparee,seasons,who,winner,seasons,#,most,who has presented the most seasons ?
3824,longer,comparee,100 days,how many,series,100 days,series,more,how many series lasted longer than 100 days ?
3825,more,comparee,100 days,how many,series,100 days,seasons,more,how many seasons lasted more than 100 days ?
3826,largest,comparee,number of housemates,#,housemates,number of housemates,#,most,largest number of housemates was during season...
3827,most,comparee,money,which,winner,money,#,most,which two winners of grande fratello won the most money ?
3828,smallest,comparee,audience,which,series,audience,season,least,which season had the smallest audience ?
